DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3272;P3273S1;P3273S2;P3273S4;P3273S5;P3273S6;P3274;P3275S1;P3275S2;P3275S4;P3275S5;P3275S6;P3275S7;P3275S8;P3275S9;P3275S10;P3276;P3277S1;P3277S2;P3277S3;P3277S4;P3277S5;P3277S6;P3277S7;P3277S8;P3277S9;P3277S10;P3277S11;P3277S12;P3277S13;P3278;P3279S1;P3279S2;P3279S3;P3279S4;P3279S5;P3279S6;P3280S1;P3280S2;P3280S3;P3280S4;P3280S5;P3280S6;P3280S7;P3280S8;P3280S9;P3280S10;P3280S11;P3281;P3282;P3283S1;P3283S2;P3283S3;P3283S4;P3283S5;P3283S6;P3283S7;P3283S8;P3283S9;P3283S10;P3283S11;P3283S12;P3283S13;P3284S1;P3284S2;P3284S3;P3284S4;P3284S5;P3285;P3286;P3287S1;P3287S2;P3287S3;P3287S4;P3504;P3288;P3289;P3290;P3291;P3291S1;P3292S1;P3292S2;P3292S3;P3292S4;P3292S5;P3292S6;P3292S7;P3292S8;P3292S9;P3292S10;P3292S11;P3293S1;P3293S2;P3293S3;P3293S4;P3293S5;P3293S6;P3293S7;P3293S8;P3293S9;P3294S1;P3294S2;P3294S3;P3294S4;P3294S5;P3294S6;P3294S7;P3294S8;P3294S9;P3294S10;P3294S11;P3294S12;P3295;P3296;P3297;P3298;P3299;P3300;P3301
622453;237;2;1;2;284.32535813;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;;;;;;;;;;;;;1;;;;;;;;;;;8;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;2;;;;;;6
622458;237;2;1;2;328.09966927;2;;;;;;;;;;;;;;;;1;1;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4;2;;;;;;;;;;;;2;;;1;;;;1;;;;;;;;;;;;;;2;;2;;;;;;6
622493;237;1;1;1;400.96941124;2;;;;;;;;;;;;;;;;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;1;;;1;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;2;;;;;;1
622580;237;1;1;1;39.729542897;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;6
622582;237;1;1;1;27.2807502;2;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;2;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
622607;237;3;1;3;54.95895225;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;12;3;;8000000;8000000;;;1;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;2;2;1;1;;
622768;237;2;1;2;87.316977148;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;1;2;1;3;2;4;
622781;237;1;1;1;58.18626826;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
622797;237;2;1;2;55.032081816;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;7;3;;1800000;1800000;;1;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;1;2;2;5;1;;
622899;237;2;1;2;301.35499194;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;1;;;;;;;;;;;;;;;9;;;;;;;;12;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;1;4;;4;;5;
622900;237;1;1;1;129.0119027;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;;;;;1
622901;237;2;1;2;113.26451384;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;2;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;1;4;;4;;;
622902;237;1;1;1;122.82856514;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;2800000;2800000;;1;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;4
622902;237;2;1;2;122.82856514;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;1;28000000;28000000;1;;;1;1;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;4
622959;237;7;1;7;79.316782358;1;1;1;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;2;;;;1;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;1
623088;237;3;3;1;1260.2804522;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;;1;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;2;;;;;;3
623092;237;1;1;1;1177.8723725;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;8;7;;800000;800000;1;1;1;1;1;;;;;;;;1;1;;;;;;;1;1;;;;1;;;;;;;1;1;1;5;1;;
623126;237;1;1;1;103.74342602;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;;1;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;2;;;;;;6
623142;237;1;1;1;86.631059775;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623149;237;1;1;1;82.992031513;2;;;;;;;;;;;;;;;;1;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;98;98;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623149;237;2;1;2;82.992031513;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623151;237;1;1;1;81.332190883;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;12;5;;4000000;4000000;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;2;2;2;1;;
623155;237;1;1;1;77.229126726;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;;;;;;;;;;2;;;1;;;;;;;;;1;;;;;;;;;;;2;;;;;;6
623159;237;1;1;1;86.044734052;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;2;;;1;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;2;;;;;;6
623160;237;1;1;1;113.40437597;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;1;1;;;;;;;;;;;;;;9;;;;;;;;3;7;2;;;1;;;;;;;;;;;;;;;;;;;2;;1;;;;1;;;;;;;2;;;;;;6
623172;237;1;1;1;67.379713158;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;2;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;4
623177;237;1;1;1;121.63587459;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;10;1;;98;98;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623189;237;2;1;2;86.54342171;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;8;1;;1200000;1200000;1;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;13
623305;237;1;1;1;62.66907369;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;5;4;;99;99;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;9;1;2;2;4;1;;
623447;237;1;1;1;132.08567562;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;2;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;2;1;4;1;;
623531;237;1;1;1;482.14494114;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;7;2;;98;98;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
623611;237;1;1;1;47.470972562;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
623618;237;1;1;1;54.043705427;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623620;237;1;1;1;58.57363318;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;1;;;;;;;1;;;;;;;;;;;5;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623637;237;3;1;3;42.269114638;2;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623647;237;1;1;1;54.243970633;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;6;7;;250000;250000;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;4
623649;237;1;1;1;58.57363318;2;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
623651;237;1;1;1;53.951182545;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;3;2;;;;1;1;1;1;;;;;;;1;;1;1;1;;;;;;1;;1;;;;;;;;;2;;;;;;3
623653;237;2;1;2;52.688092242;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;;;;;;;;;;;;;;;;9;;;;;;;;11;9;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
623668;237;1;1;1;103.91732641;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;2;;;;1;;;;;;;;;6;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623688;237;3;1;3;79.817246952;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
623702;237;1;1;1;78.103296077;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;10;1;;200000;200000;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
623723;237;1;1;1;48.763926993;1;1;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;1;;;;;;2;;;;;;3
623757;237;2;1;2;97.639648319;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;3;9;;1500000;1500000;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;9;1;2;2;4;2;1;
623799;237;1;1;1;69.275674858;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;12;7;;10000000;10000000;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;1;1;1;4;2;3;
623803;237;4;1;4;67.927693726;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;7;2;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;2;;;;;;1
623810;237;1;1;1;57.210623071;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;5000000;5000000;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;1;2;2;4;1;;
623816;237;1;1;1;884.76861315;1;;1;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7;2;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;2;;2;;;;;;3
623836;237;5;1;5;388.25561574;1;1;1;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
623869;237;1;1;1;261.8447616;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;2;;700000;700000;;;;;;;;;;2;;;;;;;;;;2;1;;;;;;;;;;;;2;;;;;;3
623908;237;1;1;1;408.06740715;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;2;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;12
623908;237;2;1;2;408.06740715;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;3;4;;20000000;20000000;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
624007;237;1;1;1;166.93155524;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;2;;;1;1;1;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;2;;;;;;1
624011;237;1;1;1;324.09211904;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
624051;237;1;1;1;101.54292281;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;2;;;;;;5
624069;237;2;1;2;170.18374566;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;10;3;;2000000;2000000;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
624118;237;3;1;3;209.11336042;1;1;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;1;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
624127;237;4;1;4;184.57677471;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
624484;237;1;1;1;1377.2181587;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;2;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;1;4;;3;;;
624497;237;4;1;4;879.0065514;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;12;7;;2800000;2800000;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;2;;;;;;6
624511;237;1;1;1;2575.7790349;2;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;2;;;1;;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;2;;;;;;1
624516;237;3;1;3;2114.939464;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;9;;;;;;;;3;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
624541;237;1;1;1;1187.2447949;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;7;7;;3200000;3200000;1;1;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;1;1;1;2;1;;
624561;237;2;1;2;732.05145;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;3;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
624583;237;1;1;1;1113.8654121;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;1;2;1;2;1;;
624613;237;1;1;1;1043.8511417;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;9;1;;1450000;1450000;;;1;;;1;;;;;;;;;;;;;;2;1;;;;;;;;;;;;1;2;2;2;2;3;
624616;237;2;1;2;1060.8758227;2;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;4;;5;;;
624633;237;1;1;1;729.04860224;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
624636;237;2;1;2;1974.5186703;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
624653;237;1;1;1;786.04244985;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;1;380000;380000;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;1;2;2;4;2;4;
624668;237;1;1;1;1262.4313166;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;2;;;1;1;1;1;1;1;;;;;;1;;;;;;;;;;1;;;;;;;;;;;1;2;2;4;1;;
624696;237;1;1;1;1644.8573123;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;2;2;;200000;200000;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;4
624704;237;2;1;2;1167.6228291;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
624715;237;1;1;1;171.46511057;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;;;;;;;;;;;9;;;;;;;;;2;;;;;;;;;;;;9;2;;;;;;6
624782;237;1;1;1;106.66298621;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
624783;237;2;1;2;55.559414725;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;2;;;;;;;;;;;;;9;;;;1;;;;;;;;;;;;;;;;;9;2;;;;;;6
624810;237;2;1;2;114.37339343;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;9;2;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;8
624905;237;1;1;1;92.674952072;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;6;7;;500000;500000;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;1;1;1;2;2;3;
624915;237;1;1;1;81.598083326;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;1;;;;;;;;;;;1;;;;;;;;;;;11;1;2;;;1;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;2;2;4;1;;
624939;237;1;1;1;1210.1186348;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;9;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
624990;237;2;1;2;98.968865847;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;9;5;;2000000;2000000;1;1;1;1;1;1;1;;;;;;;;;1;;;;;;;;;;1;1;;;;;;2;;;;;;1
625161;237;1;1;1;89.117114378;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;7;7;;20000000;20000000;1;1;;1;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;1;2;2;2;2;3;
625198;237;1;1;1;173.86033537;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
625460;237;1;1;1;53.602997839;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
625466;237;1;1;1;50.079344932;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;4;2;;;;;;;;;;;;2;;;;;;;;;;2;1;;1;;;1;;;;;;;2;;;;;;6
625467;237;1;1;1;38.027427968;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;9;2;;;;;;;;;;;;2;;;;;;;;;;2;;1;;;;;1;;;;;;1;4;;3;;;
625467;237;2;1;2;38.027427968;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;2;;;;;;;;;;;;2;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;6
625468;237;2;1;2;54.220214622;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
